,OlfN,TotalN,Tokens,OAI,OSI
shot_NN,242,16412,"['shot_NNS', 'shot_NN', 'shot_NNP']",-6.083600202,12.06515879
truth_NN,437,29735,"['truth_NN', 'truth_NNS', 'truth_NNP', 'truth_NNPS']",-6.088384986,11.21253256
vision_NN,470,32143,"['vision_NN', 'vision_NNS', 'vision_NNP']",-6.095700019,11.10750508
people_NN,6712,461707,"['people_NNS', 'people_NNPS', 'people_NNP']",-6.104091079,7.271495025
more_JJ,6232,428747,['more_JJR'],-6.104287533,7.378542508
neighbor_NN,217,14937,"['neighbor_NN', 'neighbor_NNS', 'neighbor_NNP']",-6.105051568,12.22247079
red_JJ,358,24690,"['red_JJ', 'red_JJS', 'red_JJR']",-6.107823439,11.50020625
sun_NN,383,26567,"['sun_NN', 'sun_NNP', 'sun_NNS']",-6.116147123,11.40282144
boy_NN,431,29982,"['boy_NN', 'boy_NNS', 'boy_NNP', 'boy_NNPS']",-6.120264944,11.23247797
readily_RB,151,10526,['readily_RB'],-6.12326494,12.74561729
disappear_VB,156,10905,"['disappear_VBP', 'disappear_VBG', 'disappear_VBD', 'disappear_VB', 'disappear_VBN', 'disappear_VBZ']",-6.127299931,12.69861981
might_MD,2128,148989,['might_MD'],-6.129563858,8.92873959
demonstration_NN,219,15443,"['demonstration_NNS', 'demonstration_NN', 'demonstration_NNP']",-6.139878362,12.20923497
girl_NN,580,41046,"['girl_NN', 'girl_NNS', 'girl_NNP', 'girl_NNPS']",-6.145044925,10.80411294
being_NN,205,14513,"['being_NN', 'being_NNS', 'being_NNPS']",-6.145578052,12.30454193
move_NN,259,18441,"['move_NN', 'move_NNS']",-6.153820983,11.96721374
show_NN,727,51764,"['show_NNS', 'show_NN', 'show_NNP']",-6.15384993,10.47821047
ahead_RB,288,20508,['ahead_RB'],-6.153974181,11.81409702
walk_VB,603,43043,"['walk_VBZ', 'walk_VBG', 'walk_VBP', 'walk_VBD', 'walk_VB', 'walk_VBN']",-6.157476822,10.74800783
last_JJ,2314,165228,"['last_JJ', 'last_JJS']",-6.157925516,8.807848877
wish_VB,571,40877,"['wish_VB', 'wish_VBP', 'wish_VBZ', 'wish_VBD', 'wish_VBN', 'wish_VBG']",-6.161654764,10.82667509
worth_JJ,255,18263,['worth_JJ'],-6.162282714,11.98966859
painting_NN,263,18882,"['painting_NN', 'painting_NNS']",-6.165804975,11.94510304
difficult_JJ,914,66392,['difficult_JJ'],-6.182671437,10.14797167
band_NN,406,29507,"['band_NN', 'band_NNS', 'band_NNP']",-6.183433711,11.31868611
huge_JJ,346,25194,['huge_JJ'],-6.186164346,11.5493938
tiny_JJ,155,11293,"['tiny_JJ', 'tiny_JJS']",-6.187016765,12.70789762
list_NN,1404,102402,"['list_NN', 'list_NNS', 'list_NNP', 'list_NNPS']",-6.188557147,9.528694806
would_MD,8964,653954,['would_MD'],-6.188902699,6.854095092
go_VB,5482,400055,"['go_VBG', 'go_VB', 'go_VBD', 'go_VBP', 'go_VBZ', 'go_VBN']",-6.189352219,7.563535413
phenomenon_NN,218,15911,"['phenomenon_NN', 'phenomenon_NNS', 'phenomenon_NNP']",-6.189552566,12.2158377
much_JJ,1644,120610,['much_JJ'],-6.196995419,9.301027442
white_JJ,597,43821,"['white_JJ', 'white_JJS']",-6.197747665,10.7624349
glass_NN,398,29244,"['glass_NN', 'glass_NNS', 'glass_NNP']",-6.199228416,11.34739741
best_RB,175,12866,"['best_RB', 'best_RBS']",-6.200064862,12.53281091
already_RB,1279,94039,['already_RB'],-6.200171028,9.663221477
physician_NN,394,29051,"['physician_NN', 'physician_NNS', 'physician_NNP']",-6.204248385,11.36197021
play_NN,355,26179,"['play_NN', 'play_NNS', 'play_NNP']",-6.204447155,11.51234681
look_NN,356,26345,"['look_NN', 'look_NNS']",-6.209508128,11.50828859
link_NN,846,62648,"['link_NNS', 'link_NN', 'link_NNP']",-6.21046698,10.25950817
while_NN,156,11563,['while_NN'],-6.211825912,12.69861981
b_NN,489,36352,"['b_NNP', 'b_NN', 'b_NNS']",-6.216056465,11.05033137
'm_VB,1014,75959,"[""'m_VBP""]",-6.227091355,9.998180089
regularly_RB,205,15600,['regularly_RB'],-6.249778309,12.30454193
patient_NN,1418,108204,"['patient_NN', 'patient_NNS', 'patient_NNP']",-6.25375249,9.514380209
color_NN,691,52746,"['color_NN', 'color_NNS', 'color_NNP']",-6.25423217,10.55148013
big_JJ,1070,81997,"['big_JJ', 'big_JJS', 'big_JJR']",-6.259888426,9.920626945
father_NN,599,46060,"['father_NN', 'father_NNS', 'father_NNP']",-6.264814598,10.75760983
description_NN,496,38156,"['description_NNS', 'description_NN', 'description_NNP', 'description_NNPS']",-6.265426007,11.02982572
approach_VB,271,20854,"['approach_VBG', 'approach_VB', 'approach_VBD', 'approach_VBP', 'approach_VBN', 'approach_VBZ']",-6.265887471,11.90187298
hop_VB,293,22584,"['hop_VBG', 'hop_VBZ', 'hop_VBD', 'hop_VBN', 'hop_VB', 'hop_VBP']",-6.268256559,11.78926517
sheet_NN,259,19975,"['sheet_NNP', 'sheet_NN', 'sheet_NNS', 'sheet_NNPS']",-6.269099595,11.96721374
do_VB,16379,1263400,"['do_VBD', 'do_VB', 'do_VBN', 'do_VBP', 'do_VBZ', 'do_VBG']",-6.269320389,5.984462369
print_NN,302,23426,"['print_NN', 'print_NNS', 'print_NNP']",-6.277418275,11.74561729
id_NN,152,11807,"['id_NN', 'id_NNP', 'id_NNS']",-6.279427308,12.73609451
truly_RB,268,20819,['truly_RB'],-6.279523962,11.91793284
little_JJ,1450,112844,['little_JJ'],-6.282133001,9.482184841
opportunity_NN,1830,142883,"['opportunity_NN', 'opportunity_NNS', 'opportunity_NNP', 'opportunity_NNPS']",-6.286846818,9.146394093
now_RB,3526,275604,['now_RB'],-6.288420542,8.200205267
friend_NN,983,76913,"['friend_NNS', 'friend_NN', 'friend_NNPS', 'friend_NNP']",-6.289892239,10.04297442
god_NN,568,44643,"['god_NNP', 'god_NN', 'god_NNS']",-6.296399239,10.83427491
